Position_x,Position_y,value
0,1,1.5
0.00714286,1,1.5
0.0142857,1,1.5
0.0214286,1,1.5
0.0285714,1,1.5
0.0357143,1,1.5
0.0428571,1,1.5
0.05,1,1.5
0.0571429,1,1.5
0.0642857,1,1.5
0.0714286,1,1.5
0.0785714,1,1.5
0.0857143,1,1.5
0.0928571,1,1.5
0.1,1,1.5
0.107143,1,1.5
0.114286,1,1.5
0.121429,1,1.5
0.128571,1,1.5
0.135714,1,1.5
0.142857,1,1.5
0.15,1,1.5
0.157143,1,1.5
0.164286,1,1.5
0.171429,1,1.5
0.178571,1,1.5
0.185714,1,1.5
0.192857,1,1.5
0.2,1,1.5
0.207143,1,1.5
0.214286,1,1.5
0.221429,1,1.5
0.228571,1,1.5
0.235714,1,1.5
0.242857,1,1.5
0.25,1,1.5
0.257143,1,1.5
0.264286,1,1.5
0.271429,1,1.5
0.278571,1,1.5
0.285714,1,1.5
0.292857,1,1.5
0.3,1,1.5
0.307143,1,1.5
0.314286,1,1.5
0.321429,1,1.5
0.328571,1,1.5
0.335714,1,1.5
0.342857,1,1.5
0.35,1,1.5
0.357143,1,1.5
0.364286,1,1.5
0.371429,1,1.5
0.378571,1,1.5
0.385714,1,1.5
0.392857,1,1.5
0.4,1,1.5
0.407143,1,1.5
0.414286,1,1.5
0.421429,1,1.5
0.428571,1,1.5
0.435714,1,1.5
0.442857,1,1.5
0.45,1,1.5
0.457143,1,1.5
0.464286,1,1.5
0.471429,1,1.5
0.478571,1,1.5
0.485714,1,1.5
0.492857,1,1.5
0.5,1,1.5
0.507143,1,1.5
0.514286,1,1.5
0.521429,1,1.5
0.528571,1,1.5
0.535714,1,1.5
0.542857,1,1.5
0.55,1,1.5
0.557143,1,1.5
0.564286,1,1.5
0.571429,1,1.5
0.578571,1,1.5
0.585714,1,1.5
0.592857,1,1.5
0.6,1,1.5
0.607143,1,1.5
0.614286,1,1.5
0.621429,1,1.5
0.628571,1,1.5
0.635714,1,1.5
0.642857,1,1.5
0.65,1,1.5
0.657143,1,1.5
0.664286,1,1.5
0.671429,1,1.5
0.678571,1,1.5
0.685714,1,1.5
0.692857,1,1.5
0.7,1,1.5
0.707143,1,1.5
0.714286,1,1.5
0.721429,1,1.5
0.728571,1,1.5
0.735714,1,1.5
0.742857,1,1.5
0.75,1,1.5
0.757143,1,1.5
0.764286,1,1.5
0.771429,1,1.5
0.778571,1,1.5
0.785714,1,1.5
0.792857,1,1.5
0.8,1,1.5
0.807143,1,1.5
0.814286,1,1.5
0.821429,1,1.5
0.828571,1,1.5
0.835714,1,1.5
0.842857,1,1.5
0.85,1,1.5
0.857143,1,1.5
0.864286,1,1.5
0.871429,1,1.5
0.878571,1,1.5
0.885714,1,1.5
0.892857,1,1.5
0.9,1,1.5
0.907143,1,1.5
0.914286,1,1.5
0.921429,1,1.5
0.928571,1,1.5
0.935714,1,1.5
0.942857,1,1.5
0.95,1,1.5
0.957143,1,1.5
0.964286,1,1.5
0.971429,1,1.5
0.978571,1,1.5
0.985714,1,1.5
0.992857,1,1.5
1,1,1.5
0,0.992857,1.5
0.00714286,0.992857,1.5
0.0142857,0.992857,1.5
0.0214286,0.992857,1.5
0.0285714,0.992857,1.5
0.0357143,0.992857,1.5
0.0428571,0.992857,1.5
0.05,0.992857,1.5
0.0571429,0.992857,1.5
0.0642857,0.992857,1.5
